N,M,K,runs,max_error,max_error_exact,max_rounds,max_queries,peel_fraction,elimination_fraction,reject_fraction,verification_test_fraction,worst_error_id,worst_round_id,certified_LP_states,lp_seconds
2,8,16,199,0.024999,24999/1000000,8,22,0.622107969151671,0.33161953727506427,0.04627249357326478,0.0,16,1,19,0.04750320399989505
3,27,54,198,0.024999,24999/1000000,15,40,0.3550651955867603,0.4653961885656971,0.17953861584754263,0.0,216,396,100,0.4905912810013433
4,64,128,198,0.024999,24999/1000000,22,55,0.3431372549019608,0.32633053221288516,0.33053221288515405,0.0,410,401,142,1.4995448889981162
5,125,250,198,0.024999,24999/1000000,30,76,0.34604385128693993,0.36129647283126787,0.2926596758817922,0.0,608,659,132,3.3957668600014586
