N,points,runs,max_error,max_rounds,max_queries,max_wall_seconds,peels,eliminations,rejections,catalogs
2,16,8,0.006250000021527293,63,133,0.009930260000032831,21,26,112,25
3,54,8,0.006250000021527293,75,159,0.030063140000038402,20,37,298,49
4,128,8,0.008557046506,198,409,0.10427017100005287,21,51,737,65
5,250,8,0.006250000021527293,393,798,0.20201803899999504,19,57,1599,83
6,432,8,0.006250000021527293,645,1308,0.4619729749999806,18,67,2149,90
7,686,8,0.006250000021527293,2881,5779,1.445079991000057,22,65,4616,100
8,1024,8,0.006250000021527293,749,1521,3.837126943000044,26,68,3810,87
