N,runs,max_error,max_queries,max_wall_seconds,max_nonoracle_seconds,slope_search_runs
2,16,0.001,8,0.00017629997455514967,6.159997428767383e-05,0
3,36,0.001,11,0.00026989998877979815,0.00011340001947246492,0
4,36,0.014314928425357873,12,0.00027119999867863953,9.690006845630705e-05,0
5,36,0.02432179607109448,14,0.0003766999871004373,0.00014239994925446808,0
6,36,0.001,28,0.0003667999990284443,0.00013109997962601483,2
7,36,0.001,15,0.00024140000459738076,8.089994662441313e-05,0
8,36,0.001,16,0.0003271999885328114,0.00014719992759637535,0
16,36,0.001,52,0.0009679000067990273,0.0004905998939648271,12
32,36,0.001,89,0.0015450000064447522,0.00033169984817504883,16
