N,points,runs,max_error,max_rounds,max_queries,max_wall_seconds,peels,eliminations,rejections,catalogs
2,16,8,0.006250000021527293,63,133,0.010228300001472235,21,26,112,25
3,54,8,0.006250000021527293,75,159,0.03528439998626709,20,37,298,49
4,128,8,0.008557046506,198,409,0.10397919997922145,21,51,737,65
5,250,8,0.006250000021527293,393,798,0.17723869998008013,19,57,1599,83
6,432,8,0.006250000021527293,645,1308,0.5596924999845214,18,67,2149,90
7,686,8,0.006250000021527293,2881,5779,1.2479446999786887,22,65,4616,100
8,1024,8,0.006250000021527293,749,1521,3.123211700003594,26,68,3810,87
