N,runs,max_error,max_queries,max_wall_seconds,max_nonoracle_seconds,slope_search_runs
2,16,0.001,8,0.00023448700017070223,0.0001544099998227466,0
3,36,0.001,11,0.00042434800002411066,7.420899987664598e-05,0
4,36,0.014314928425357873,12,0.00016725800014683045,6.672599965895643e-05,0
5,36,0.02432179607109448,14,0.0003932810000151221,0.0001070099997377838,0
6,36,0.001,28,0.0003925610001260793,0.00017022299994096102,2
7,36,0.001,15,0.00025156200013043417,7.030400047369767e-05,0
8,36,0.001,16,0.0029923370000233263,0.00013435300024866592,0
16,36,0.001,52,0.0009145530000296276,0.000193215000535929,12
32,36,0.001,89,0.0013676629998826684,0.00037017499857938674,16
