N,runs,max_error,max_queries,max_wall_seconds,max_nonoracle_seconds,slope_search_runs
2,16,0.001,8,0.0003531199999997625,7.059899962769123e-05,0
3,36,0.001,11,0.0004446869997991598,6.298500056800549e-05,0
4,36,0.014314928425357873,12,0.00025217800020982395,0.00011899499941137037,0
5,36,0.02432179607109448,14,0.00025317000017821556,5.815800022901385e-05,0
6,36,0.001,28,0.0003764250000131142,0.00010601299891277449,2
7,36,0.001,15,0.00023848799992265413,7.831599987184745e-05,0
8,36,0.001,16,0.0031543659997623763,7.835699989300338e-05,0
16,36,0.001,52,0.0009542719999444671,0.0002457870000398543,12
32,36,0.001,89,0.0013932619999650342,0.0003986419992543233,16
