family,target_id,distribution,seed,n,width,T,S,eta,error,uniform_error,W_norm,v_norm
plane_q2,1,uniform,4,3,8,1200,32,0.05,0.0,0.0,4.5495629837511435,3.66317818519628
plane_q2,1,sparse_mixture,0,3,8,1200,32,0.05,0.025,0.25,3.475448931222985,2.555526219670562
plane_q2,1,sparse_mixture,1,3,8,1200,32,0.05,0.0125,0.125,3.158250537002309,2.946920663921643
plane_q2,1,sparse_mixture,2,3,8,1200,32,0.05,0.0,0.0,3.6507433430951037,3.0854618807731806
plane_q2,1,sparse_mixture,3,3,8,1200,32,0.05,0.037500000000000006,0.375,3.943820396299548,2.3044296951428223
plane_q2,1,sparse_mixture,4,3,8,1200,32,0.05,0.0125,0.125,3.939058669151115,2.864956615217103
plane_q2,1,adversarial_search,0,3,8,1200,32,0.05,0.008216753671000668,0.25,3.698236979948357,2.854503660485832
plane_q2,1,adversarial_search,1,3,8,1200,32,0.05,0.008216753671000668,0.25,3.648380864480701,3.469826115446597
plane_q2,1,adversarial_search,2,3,8,1200,32,0.05,0.008216753671000668,0.25,4.001921682024389,3.475906165281234
plane_q2,1,adversarial_search,3,3,8,1200,32,0.05,0.008216753671000668,0.25,4.198268223740913,2.6496505025314523
plane_q2,1,adversarial_search,4,3,8,1200,32,0.05,0.008216753671000668,0.25,4.249797308593807,3.2524845154934976
plane_q2,2,uniform,0,3,8,1200,32,0.05,0.0,0.0,4.326829168669844,3.6679739558692575
plane_q2,2,uniform,1,3,8,1200,32,0.05,0.0,0.0,3.9199315312286664,3.761234159398155
plane_q2,2,uniform,2,3,8,1200,32,0.05,0.0,0.0,4.163516492114438,3.676610362794461
plane_q2,2,uniform,3,3,8,1200,32,0.05,0.0,0.0,4.6655943090647325,3.385164287434624
plane_q2,2,uniform,4,3,8,1200,32,0.05,0.0,0.0,4.461855448297852,3.543726917950634
plane_q2,2,sparse_mixture,0,3,8,1200,32,0.05,0.0125,0.125,3.6336997083728244,2.781945306819738
plane_q2,2,sparse_mixture,1,3,8,1200,32,0.05,0.0,0.0,3.3652962985547927,3.166519200326821
plane_q2,2,sparse_mixture,2,3,8,1200,32,0.05,0.025,0.25,3.408958809763572,2.7946425630972174
plane_q2,2,sparse_mixture,3,3,8,1200,32,0.05,0.0,0.0,4.2869196469455915,2.818269057783741
plane_q2,2,sparse_mixture,4,3,8,1200,32,0.05,0.0,0.0,4.14200057350782,3.1232031814552275
plane_q2,2,adversarial_search,0,3,8,1200,32,0.05,0.0,0.0,3.740701113144355,2.950227122111375
plane_q2,2,adversarial_search,1,3,8,1200,32,0.05,0.06000765656707746,0.125,3.1293600856443256,2.942565899988123
plane_q2,2,adversarial_search,2,3,8,1200,32,0.05,0.0,0.0,3.659445433999415,3.09754612293291
plane_q2,2,adversarial_search,3,3,8,1200,32,0.05,0.0,0.0,4.306123274626095,2.8595623286507563
plane_q2,2,adversarial_search,4,3,8,1200,32,0.05,0.0010280369373906516,0.125,3.9498889760748033,2.869924186082113
plane_q2,3,uniform,0,3,8,1200,32,0.05,0.0,0.0,4.125536069695485,3.4066633705275966
plane_q2,3,uniform,1,3,8,1200,32,0.05,0.0,0.0,3.904865046769386,3.7520112393688034
plane_q2,3,uniform,2,3,8,1200,32,0.05,0.0,0.0,4.149261901762031,3.670908502863641
plane_q2,3,uniform,3,3,8,1200,32,0.05,0.125,0.125,4.343671670385463,2.8960076316655132
plane_q2,3,uniform,4,3,8,1200,32,0.05,0.0,0.0,4.355805704678168,3.408747522813518
plane_q2,3,sparse_mixture,0,3,8,1200,32,0.05,0.0125,0.125,3.652312341053593,2.8052149660232106
plane_q2,3,sparse_mixture,1,3,8,1200,32,0.05,0.0,0.0,3.323306767461877,3.1537251014991674
plane_q2,3,sparse_mixture,2,3,8,1200,32,0.05,0.0,0.0,3.549582106566957,2.9794440760670926
plane_q2,3,sparse_mixture,3,3,8,1200,32,0.05,0.0125,0.125,4.186050239597831,2.6490826555992646
plane_q2,3,sparse_mixture,4,3,8,1200,32,0.05,0.0125,0.125,3.878757670711449,2.758692660148666
plane_q2,3,adversarial_search,0,3,8,1200,32,0.05,0.0,0.0,3.713623032407753,2.893986270777623
plane_q2,3,adversarial_search,1,3,8,1200,32,0.05,0.0,0.0,3.3087573005619197,3.1355567283187145
plane_q2,3,adversarial_search,2,3,8,1200,32,0.05,0.0,0.0,3.6225426075301956,3.0712033220357955
plane_q2,3,adversarial_search,3,3,8,1200,32,0.05,0.06886879792499635,0.125,4.059612764793319,2.4517255444769743
plane_q2,3,adversarial_search,4,3,8,1200,32,0.05,0.0,0.0,3.927454467108083,2.8413491600072267
plane_q2,4,uniform,0,3,8,1200,32,0.05,0.0,0.0,4.386256746694313,3.720446093200565
plane_q2,4,uniform,1,3,8,1200,32,0.05,0.0,0.0,4.101137822818584,3.9475033878014822
plane_q2,4,uniform,2,3,8,1200,32,0.05,0.0,0.0,4.321282186446105,3.843515678569111
plane_q2,4,uniform,3,3,8,1200,32,0.05,0.0,0.0,4.885504289638255,3.7101680657488947
plane_q2,4,uniform,4,3,8,1200,32,0.05,0.0,0.0,4.588428209808379,3.7095356437092963
plane_q2,4,sparse_mixture,0,3,8,1200,32,0.05,0.0125,0.125,3.562638820529528,2.686835361445959
plane_q2,4,sparse_mixture,1,3,8,1200,32,0.05,0.0125,0.125,3.087110053083546,2.8991302265091523
plane_q2,4,sparse_mixture,2,3,8,1200,32,0.05,0.0125,0.125,3.3904722393916495,2.769631480552983
plane_q2,4,sparse_mixture,3,3,8,1200,32,0.05,0.48750000000000004,0.375,3.6606820825858475,1.7426315098771246
plane_q2,4,sparse_mixture,4,3,8,1200,32,0.05,0.0125,0.125,3.9256333181618857,2.820919010818969
plane_q2,4,adversarial_search,0,3,8,1200,32,0.05,0.020600783207241527,0.375,3.340586528071023,2.370888574024255
plane_q2,4,adversarial_search,1,3,8,1200,32,0.05,0.020600783207241527,0.375,3.014530537544113,2.8107476637418314
plane_q2,4,adversarial_search,2,3,8,1200,32,0.05,0.020600783207241527,0.375,3.2014026805952938,2.532505785939876
plane_q2,4,adversarial_search,3,3,8,1200,32,0.05,0.01788354329054692,0.25,4.022435719261591,2.4278399770545804
