trial,tau,mean_correlation,upper_bound,changed_outputs,departed_transcripts
0,0.11250577720575129,0.019230769230769225,26.944128951377852,5,10
1,0.26744764696598144,-0.04273504273504273,5.043772127880356,1,1
2,0.5638071095861487,0.0,1.39460688272941,0,0
3,0.27283788666345526,-0.004273504273504262,4.859557655074211,1,2
4,0.11069171349402,-0.0876068376068376,27.823437349593643,4,10
5,0.5207971625273934,0.0,1.5768374178265137,0,0
6,0.19669049206554456,-0.008547008547008524,9.040941663852418,4,7
7,0.08889933158945257,0.057692307692307716,42.95200417498917,3,11
8,0.17773131601722383,0.08974358974358973,10.997375634123722,4,5
9,0.313395610221094,1.9081958235744878e-17,3.764269791379573,0,1
10,0.20453781318350106,0.18162393162393162,8.38573503274277,4,5
11,0.19187121932125506,-0.0021367521367521083,9.483768927065654,2,3
12,0.3089860056049801,-1.734723475976807e-17,3.862846023651126,0,1
13,0.20126050676172508,-0.06410256410256412,8.650062442170023,1,4
14,0.3683701688420342,-1.734723475976807e-17,2.817113885216408,0,0
15,0.5863873323455955,6.938893903907228e-18,1.3145776823324011,0,0
16,0.37431609134872673,3.0357660829594124e-17,2.738886650239858,0,0
17,0.5969014808885724,1.214306433183765e-17,1.280374253815729,0,0
18,0.4247320257250247,-2.7755575615628914e-17,2.2020860571311225,0,0
19,0.5347900569882844,-2.42861286636753e-17,1.5127050815012018,0,0
20,0.2797978597154547,-0.02991452991452988,4.637263702659889,1,2
21,0.2896213086583689,1.8214596497756474e-17,4.35036702291408,0,2
22,0.5377547833354731,1.734723475976807e-18,1.4997558467251286,0,0
23,0.42666039626113583,0.0,2.1852475016843167,0,0
24,0.3625866067253342,0.0,2.896926938390135,0,0
25,0.6537016837792117,6.938893903907228e-18,1.123235198866345,0,0
26,0.3081904027433674,3.122502256758253e-17,3.8810836812932505,0,0
27,0.5699726708830967,6.938893903907228e-18,1.3718081129680728,0,0
28,0.17726339346725367,-0.02564102564102565,11.053740576975697,1,8
29,0.2699100410244228,-0.04487179487179486,4.958248793885917,2,3
30,0.4589877643048714,1.734723475976807e-17,1.9338019610605186,0,0
31,0.20995728614645526,0.017094017094017127,7.975486928561571,2,4
32,0.6551516354131592,8.673617379884035e-19,1.1197503746601418,0,0
33,0.6714830340613299,-2.688821387764051e-17,1.082045263792121,0,0
