q,N,k,dc_lower,dc_upper,signed_witness_norm,joint_lambda,joint_R,largest_sampled_plain_gram_ratio
2,7,3,2.1213203435596424,7,3.299831645537222,1.2152777777777786,5.759999999999996,6.124999999999993
3,13,4,2.3094010767585034,9,5.6291651245988525,1.4594907407407434,8.907216494845345,6.760000000000003
5,31,6,2.6832815729997477,13,11.553017883748918,2.2767777777777836,13.615733736762447,2.65714285714286
7,57,8,3.0237157840738176,17,18.850978091335218,3.200277879008756,17.810953346855932,2.180525428808301
11,133,12,3.6181361349331636,25,36.75925809310571,5.12982354537103,25.926817720663017,1.5412078291460463
